Biz,GBU,Metric,Total Store + Deals,2014-W48,2014-W49,2014-W50,2014-W51,2014-W52,2015-W01,2015-W02,2015-W03,2015-W04,2015-W05,2015-W06,2015-W07,2015-W08,2015-W09,2015-W10,2015-W11,2015-W12,2015-W13,2015-W14,2015-W15,2015-W16,2015-W17,2015-W18,2015-W19,2015-W20,2015-W21,2015-W22,2015-W23,2015-W24,2015-W25,2015-W26,2015-W27,2015-W28,2015-W29,2015-W30,2015-W31,2015-W32,2015-W33,2015-W34,2015-W35,2015-W36,2015-W37,2015-W38,2015-W39,2015-W40,2015-W41,2015-W42,2015-W43,2015-W44,2015-W45,2015-W46,2015-W47
Deals,3PP,AOS,3PP AOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deals,3PP,RPV/RPC,3PP RPV/RPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deals,3PP,Number of Orders,3PP Number of Orders,0.701193279,0.775683422,0.899098899,3.235342464,4.201381696,1.843789492,2.182705818,1.534150693,1.784157181,1.296688098,1.535825032,1.428983027,1.395806698,1.832187499,1.740740222,1.73379092,2.742709149,1.643733806,1.763479079,1.368042681,2.019428506,1.663624088,1.432124736,1.603455217,1.597856161,1.673633736,1.224094376,1.295159824,1.353750535,1.756305012,2.46735703,1.306066562,1.93491521,1.301490957,1.550770225,3.12703217,2.02535477,1.82251638,1.649992748,2.38751958,2.355338291,1.851225808,1.774792558,1.889374871,2.265969075,1.535277661,1.537757447,1.24448495,1.614898734,1.692172499,1.440312475,1.225681851
Deals,3PP,Order $,3PP Order $,116.4525913,132.8988052,151.391891,495.19774,630.7509912,296.5449877,326.8116022,249.5680014,261.831133,202.9181457,279.3846566,242.7927699,231.6693819,284.0873207,280.3981177,275.1751634,409.3349745,261.0885286,286.4613127,224.9042004,303.5559567,278.1433058,230.1655064,265.764115,254.1739283,264.9602668,201.9411439,205.4408388,225.0993757,279.6439819,369.6185485,221.2345845,304.623415,214.4216127,254.0403446,463.4958868,317.9023523,301.656077,259.0945352,377.7869047,376.2596496,333.9715306,325.3340975,371.3079607,413.2898193,225.6581677,211.2666023,179.1807882,213.2531534,217.4587566,197.3117876,176.1334789
Deals,3PP,LIO,3PP LIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deals,3PP,ASP,3PP ASP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deals,3PP,Units,3PP Units,2.419116813,2.676107805,3.101891203,11.1619315,14.49476685,6.361073747,7.530335072,5.29281989,6.155342274,4.473573939,5.298596361,4.929991442,4.81553311,6.32104687,6.005553767,5.981578675,9.462346565,5.670881629,6.084002822,4.719747249,6.967028344,5.739503105,4.940830338,5.5319205,5.512603754,5.77403639,4.223125596,4.468301394,4.670439345,6.05925229,8.512381753,4.505929639,6.675457473,4.490143803,5.350157278,10.78826099,6.987473958,6.287681511,5.69247498,8.23694255,8.125917104,6.386729036,6.123034326,6.518343304,7.817593309,5.29670793,5.305263193,4.293473076,5.571400633,5.837995123,4.969078039,4.228602384
Deals,3PP,PM,3PP PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deals,3PP,PM%,3PP PM%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traffic Business,NB Accy,Traffic,NB Accy Traffic,5952.553488,6291.523013,6864.592762,12037.07429,12155.55891,7603.927365,7714.317686,7388.557342,7371.858698,6716.80909,7114.153712,6771.335651,6093.398042,11287.88339,12894.15835,12385.27526,14453.49462,12480.60869,11474.87422,10785.8332,11526.0832,11642.3515,11354.46544,12359.17684,11538.67092,11328.06381,33172.8698,39971.62692,32082.24748,34397.12078,34532.75545,35141.25709,43392.11942,38927.90973,36930.18268,45356.90721,43174.58415,39341.61742,44745.75167,27039.25895,25840.65078,25073.73351,25413.06066,26996.62645,24287.18242,24692.25957,21653.43079,21619.0501,21356.36781,23605.81445,21481.30445,22427.63639
